Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
78,USC,13,29.4,21.6,35.4,61.1,246.2,1.8,36.2,162.4,4.5,1.5,71.5,408.5,5.7,10.8,9.5,2.5,22.8,7.8,65.0,0.5,0.7,1.2
79,Old Dominion,12,29.8,17.2,27.0,63.6,223.5,1.7,37.6,151.3,4.0,1.8,64.6,374.8,5.8,9.6,8.6,1.9,20.1,5.3,53.1,0.8,0.8,1.5
80,Stanford,12,29.8,22.5,34.4,65.4,279.5,2.3,33.8,150.8,4.5,1.4,68.3,430.3,6.3,12.7,8.6,1.6,22.8,6.2,58.3,0.3,0.7,1.0
81,Middle Tennessee State,12,29.9,22.6,34.5,65.5,265.3,1.9,39.3,194.0,4.9,1.6,73.8,459.3,6.2,11.5,10.7,1.0,23.2,5.7,46.6,0.8,0.7,1.4
82,Fresno State,12,30.1,22.3,36.2,61.8,259.2,1.7,37.1,160.6,4.3,2.0,73.3,419.8,5.7,10.1,10.2,1.6,21.8,6.5,60.1,0.9,0.9,1.8
83,North Carolina State,12,30.1,22.1,34.3,64.3,255.5,2.0,37.0,144.8,3.9,1.8,71.3,400.3,5.6,11.8,7.3,2.3,21.4,8.3,62.3,0.3,0.3,0.7
84,Texas Tech,12,30.3,20.6,33.6,61.3,307.8,1.8,39.1,173.0,4.4,2.0,72.7,480.8,6.6,12.3,8.2,1.7,22.1,6.8,64.8,0.4,1.2,1.6
85,Coastal Carolina,12,30.5,19.0,27.3,69.7,223.3,2.1,36.1,160.4,4.4,1.9,63.3,383.7,6.1,9.3,9.6,1.3,20.1,6.7,56.4,0.5,0.9,1.4
86,Eastern Michigan,13,30.6,18.5,29.2,63.4,236.2,1.6,41.7,194.2,4.7,2.3,70.9,430.5,6.1,10.2,10.6,1.3,22.2,5.9,58.5,0.8,0.8,1.6
87,Purdue,12,30.6,19.7,31.8,61.8,243.8,1.7,40.6,192.5,4.7,2.1,72.4,436.3,6.0,10.7,9.9,1.2,21.8,7.1,60.7,0.5,0.8,1.3
88,South Alabama,12,30.7,17.5,27.2,64.4,216.6,1.8,43.5,192.3,4.4,1.4,70.7,408.9,5.8,10.0,9.9,1.3,21.3,6.6,57.3,0.6,0.8,1.3
89,Syracuse,12,30.7,18.9,35.4,53.4,262.5,1.8,41.1,201.6,4.9,2.2,76.5,464.1,6.1,11.4,9.9,2.3,23.6,6.0,52.1,1.0,1.1,2.1
90,Utah State,13,30.7,18.5,31.2,59.5,238.6,1.5,46.8,202.4,4.3,2.2,77.9,441.0,5.7,10.8,11.5,1.4,23.4,6.6,58.3,1.0,0.8,1.8
91,Colorado State,12,31.2,15.3,26.3,57.9,181.6,1.6,41.1,196.0,4.8,1.9,67.4,377.6,5.6,7.6,9.9,2.3,19.8,6.3,54.2,0.6,0.5,1.1
92,Tulsa,12,31.3,15.9,28.3,56.3,209.7,1.1,41.3,185.1,4.5,2.4,69.5,394.8,5.7,8.3,8.6,2.6,19.4,8.4,72.9,1.1,0.4,1.5
93,Ball State,12,31.4,19.1,32.6,58.6,245.1,0.9,39.7,181.2,4.6,2.8,72.3,426.3,5.9,11.3,9.3,1.7,22.2,6.1,51.6,0.8,1.3,2.0
94,Washington State,13,31.4,19.2,30.6,62.8,267.0,1.8,37.5,185.5,4.9,2.1,68.2,452.5,6.6,10.6,10.2,2.1,22.8,6.1,52.1,0.7,0.8,1.5
95,Colorado,12,31.8,22.3,33.8,65.8,288.3,2.3,34.0,154.1,4.5,1.8,67.8,442.4,6.5,12.5,8.1,1.2,21.8,6.1,60.8,0.5,0.9,1.4
96,Kent State,13,31.8,17.2,26.8,64.2,228.8,1.4,47.8,245.5,5.1,2.6,74.7,474.3,6.4,9.9,12.9,2.1,24.9,6.5,59.7,0.8,0.5,1.4
97,Vanderbilt,12,31.8,16.7,27.1,61.5,227.8,1.9,39.2,209.2,5.3,2.1,66.3,437.0,6.6,9.2,10.8,2.0,22.0,7.5,67.8,0.4,0.5,0.9
