Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Clemson,15,13.1,15.9,29.8,53.2,189.6,0.9,38.4,101.9,2.7,0.5,68.2,291.5,4.3,7.7,6.4,1.5,15.6,6.5,51.9,0.8,0.8,1.6
2,Mississippi State,13,13.2,16.9,30.6,55.3,168.0,0.6,33.1,95.8,2.9,0.5,63.7,263.8,4.1,7.5,6.9,1.8,16.3,4.8,36.5,0.5,1.0,1.5
3,Fresno State,14,14.1,16.5,31.9,51.7,189.4,1.1,36.2,132.2,3.7,0.6,68.1,321.6,4.7,8.9,7.6,1.4,17.8,5.0,41.1,0.5,1.4,1.9
4,Appalachian State,13,15.5,16.2,28.5,56.6,162.2,0.6,36.4,125.9,3.5,0.9,64.9,288.1,4.4,7.5,7.0,1.5,16.0,6.0,46.8,0.5,1.3,1.8
5,Washington,14,16.4,21.1,32.6,64.6,190.1,0.9,32.9,116.1,3.5,0.9,65.6,306.2,4.7,9.6,6.3,1.0,16.9,5.3,43.7,0.6,0.8,1.4
6,Kentucky,13,16.8,16.6,28.9,57.4,186.3,1.1,35.4,146.8,4.2,0.9,64.3,333.2,5.2,7.8,7.9,1.6,17.4,7.8,66.4,0.8,0.7,1.5
7,UAB,14,17.0,15.3,28.1,54.3,181.0,1.0,34.4,118.2,3.4,0.9,62.5,299.2,4.8,7.6,6.6,3.1,17.3,4.5,42.6,0.8,0.6,1.4
8,Cincinnati,13,17.2,15.2,31.1,48.8,190.5,1.5,33.5,111.2,3.3,0.7,64.6,301.7,4.7,7.8,4.9,2.6,15.4,6.2,54.7,0.6,0.9,1.5
9,Michigan State,13,17.2,21.5,36.7,58.7,225.2,1.1,30.2,77.9,2.6,0.6,66.8,303.2,4.5,10.7,4.2,1.5,16.4,5.2,48.8,0.7,1.1,1.8
10,Army,13,17.7,14.8,25.2,58.8,188.8,1.3,27.7,106.5,3.8,0.9,52.9,295.3,5.6,8.2,6.0,1.5,15.7,5.5,42.2,1.0,0.4,1.4
11,Iowa,13,17.8,17.7,30.9,57.2,184.1,1.5,33.5,110.7,3.3,0.7,64.4,294.8,4.6,7.5,7.8,1.2,16.5,5.9,56.0,0.5,1.5,2.1
12,Alabama,15,18.1,16.3,31.0,52.5,198.3,1.5,34.3,122.0,3.6,0.7,65.3,320.3,4.9,8.7,6.2,1.9,16.9,6.1,51.7,0.5,0.9,1.4
13,Notre Dame,13,18.2,21.2,37.3,56.9,207.9,0.8,36.3,139.5,3.8,1.2,73.6,347.4,4.7,10.8,7.3,1.8,19.9,5.0,42.2,0.7,0.9,1.6
14,Auburn,13,19.2,18.0,32.5,55.5,219.5,1.2,36.3,136.4,3.8,0.7,68.8,355.8,5.2,9.4,7.3,2.4,19.0,6.9,55.3,0.5,1.1,1.6
15,Georgia,14,19.2,18.4,30.2,61.0,180.3,0.9,33.4,134.0,4.0,1.3,63.6,314.3,4.9,8.6,7.1,1.4,17.1,4.8,37.5,0.6,0.6,1.2
16,Michigan,13,19.4,12.5,25.4,49.4,141.8,1.0,34.6,133.5,3.9,1.2,60.0,275.2,4.6,6.2,6.9,2.7,15.8,5.8,56.0,0.5,0.8,1.3
17,Utah,14,19.4,19.4,33.4,58.1,215.3,1.3,34.5,101.4,2.9,1.0,67.9,316.6,4.7,9.2,5.9,2.0,17.1,4.6,44.0,0.4,1.1,1.5
18,Miami (FL),13,19.5,13.0,24.4,53.3,135.6,0.8,40.2,143.1,3.6,1.2,64.5,278.7,4.3,6.2,8.2,1.4,15.8,4.8,47.0,0.7,1.2,1.9
19,Southern Mississippi,11,19.8,16.3,30.5,53.4,175.6,1.2,30.5,102.9,3.4,0.9,61.0,278.5,4.6,8.1,5.4,1.2,14.6,5.1,50.6,0.8,1.3,2.1
20,Florida,13,20.0,15.8,29.2,54.2,178.9,1.2,37.6,159.8,4.2,1.0,66.8,338.7,5.1,7.6,8.1,2.1,17.8,6.7,52.4,0.8,1.1,1.9
21,Virginia,13,20.1,15.1,28.7,52.5,183.0,0.9,34.0,147.5,4.3,1.2,62.7,330.5,5.3,8.4,7.1,0.9,16.3,5.5,52.1,0.3,1.3,1.6
22,California,13,20.4,17.2,29.8,57.6,174.8,1.0,39.3,142.3,3.6,1.0,69.1,317.2,4.6,7.9,8.2,1.4,17.5,6.2,54.6,0.5,1.6,2.2
23,Penn State,13,20.5,17.2,32.0,53.6,181.5,1.1,42.2,169.0,4.0,1.2,74.2,350.5,4.7,8.8,9.4,1.8,20.0,7.4,66.8,0.5,1.0,1.5
24,Brigham Young,13,21.4,19.9,33.0,60.4,193.6,1.0,35.5,130.5,3.7,1.7,68.5,324.1,4.7,9.2,7.8,1.5,18.5,6.1,49.3,0.7,0.7,1.4
25,Georgia Southern,13,21.5,18.4,29.7,61.9,216.5,1.1,35.7,140.6,3.9,1.6,65.4,357.2,5.5,9.5,7.9,1.3,18.7,5.5,46.7,0.9,1.2,2.1
26,LSU,13,21.8,17.2,34.5,49.7,200.1,1.4,35.8,138.6,3.9,1.2,70.4,338.7,4.8,8.9,8.2,2.4,19.5,7.8,69.7,0.6,1.3,1.9
