Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Marshall,10,13.0,18.2,29.2,62.3,183.9,0.8,34.3,95.5,2.8,0.6,63.5,279.4,4.4,7.9,6.5,2.7,17.1,5.4,49.6,1.0,0.5,1.5
2,Army,12,14.8,14.4,24.7,58.4,160.8,1.3,30.4,114.6,3.8,0.4,55.1,275.3,5.0,7.2,5.4,1.3,13.8,4.8,43.4,0.5,1.2,1.7
3,Air Force,6,15.0,14.7,23.8,61.5,166.8,1.2,35.7,137.7,3.9,0.7,59.5,304.5,5.1,7.7,8.7,1.3,17.7,4.8,44.2,0.5,0.8,1.3
4,Brigham Young,12,15.3,19.1,31.2,61.2,197.5,1.3,34.8,121.1,3.5,0.7,65.9,318.6,4.8,9.6,7.4,1.1,18.1,6.3,58.6,0.6,0.7,1.3
5,Northwestern,9,15.9,19.4,37.4,51.9,195.3,0.9,32.8,145.9,4.5,0.6,70.2,341.2,4.9,8.9,8.7,1.4,19.0,6.0,48.1,0.6,1.6,2.1
6,Iowa,8,16.0,19.9,34.4,57.8,206.1,1.1,37.9,107.6,2.8,1.0,72.3,313.8,4.3,9.8,7.3,0.6,17.6,4.9,41.4,0.9,1.4,2.3
7,Ohio,3,16.7,16.7,30.7,54.3,195.3,1.0,40.3,193.7,4.8,1.0,71.0,389.0,5.5,8.7,9.3,0.7,18.7,5.7,49.7,0.3,1.7,2.0
8,Cincinnati,10,16.8,18.9,35.5,53.2,213.5,0.7,35.5,114.4,3.2,1.0,71.0,327.9,4.6,9.3,7.2,2.9,19.4,5.7,55.3,0.5,1.6,2.1
9,Florida Atlantic,9,17.4,16.2,29.6,54.9,188.2,1.0,37.2,154.6,4.2,0.7,66.8,342.8,5.1,8.3,8.7,0.8,17.8,5.4,51.4,0.6,0.7,1.2
10,Wisconsin,7,17.4,15.7,31.1,50.5,203.7,1.7,28.7,96.1,3.3,0.3,59.9,299.9,5.0,9.4,4.0,1.9,15.3,4.1,37.3,0.6,1.1,1.7
11,San Diego State,8,17.8,19.6,32.8,59.9,185.3,1.4,32.1,98.6,3.1,0.6,64.9,283.9,4.4,7.4,6.3,1.5,15.1,4.4,33.1,0.6,1.0,1.6
12,Rice,5,18.8,15.4,25.8,59.7,200.8,1.0,34.2,140.8,4.1,1.0,60.0,341.6,5.7,8.2,7.6,0.6,16.4,7.0,61.4,0.6,1.2,1.8
