Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Illinois,7,8.9,13.3,30.3,43.9,143.3,0.3,28.1,77.9,2.8,0.4,58.4,221.1,3.8,6.1,4.3,1.9,12.3,4.7,42.0,0.7,1.7,2.4
2,Georgia,7,9.1,16.6,30.4,54.5,163.7,0.6,25.3,83.4,3.3,0.1,55.7,247.1,4.4,7.0,4.6,1.1,12.7,5.9,45.9,0.4,0.9,1.3
3,Michigan,7,12.1,16.7,32.1,52.0,164.1,0.7,29.9,85.9,2.9,0.6,62.0,250.0,4.0,8.0,5.3,1.4,14.7,3.0,32.0,0.4,0.6,1.0
4,San Jose State,6,14.5,15.5,25.7,60.4,169.0,1.0,36.2,126.3,3.5,0.7,61.8,295.3,4.8,8.2,6.8,1.0,16.0,7.2,64.3,0.7,1.2,1.8
5,Ohio State,7,14.9,14.0,25.1,55.7,149.0,0.9,31.9,90.9,2.9,0.6,57.0,239.9,4.2,5.9,4.3,1.7,11.9,5.6,45.9,0.7,1.0,1.7
6,Iowa State,7,15.1,15.9,27.4,57.8,184.4,1.3,31.9,105.3,3.3,0.6,59.3,289.7,4.9,8.0,6.3,1.7,16.0,5.0,41.6,0.9,0.6,1.4
7,Syracuse,7,15.1,18.0,28.3,63.6,173.0,0.7,34.0,123.3,3.6,1.1,62.3,296.3,4.8,7.3,7.7,1.3,16.3,7.3,62.7,0.9,1.0,1.9
8,Iowa,7,16.1,19.6,32.6,60.1,174.0,1.0,35.6,104.3,2.9,0.4,68.1,278.3,4.1,8.0,7.6,0.9,16.4,6.0,47.7,0.7,1.0,1.7
9,Kentucky,7,16.4,16.1,28.9,55.9,178.3,0.6,29.7,117.1,3.9,1.0,58.6,295.4,5.0,8.0,5.1,1.0,14.1,6.1,47.1,0.3,0.9,1.1
10,Minnesota,7,16.4,18.4,29.1,63.2,179.9,1.1,29.0,114.6,4.0,0.7,58.1,294.4,5.1,8.3,6.7,0.9,15.9,5.4,49.1,0.4,1.0,1.4
11,Alabama,8,16.6,18.6,34.9,53.4,201.8,1.0,34.6,93.9,2.7,0.9,69.5,295.6,4.3,8.6,6.8,2.9,18.3,6.9,53.8,0.6,0.4,1.0
12,Marshall,7,16.6,16.0,31.4,50.9,206.3,1.1,30.9,78.1,2.5,0.4,62.3,284.4,4.6,7.4,4.4,1.3,13.1,4.7,35.4,0.7,1.7,2.4
13,Air Force,8,16.8,13.8,22.3,61.8,162.3,0.8,30.4,126.4,4.2,1.1,52.6,288.6,5.5,7.4,6.8,0.5,14.6,4.4,34.8,0.8,0.8,1.5
14,North Carolina State,7,16.9,19.1,33.0,58.0,188.4,1.0,28.0,122.4,4.4,1.0,61.0,310.9,5.1,8.0,6.0,1.7,15.7,6.1,60.3,0.3,1.6,1.9
