Team,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
South Carolina,7,6,.538,3,5,.375,32.6,30.4,6.70,4.93,9,9,,
Texas A&M,8,5,.615,3,5,.375,35.2,28.1,9.96,5.72,21,6,,
