Team,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
Georgia,8,5,.615,5,3,.625,36.7,29.0,12.82,7.59,5,5,,
Florida,4,8,.333,3,5,.375,18.8,21.1,4.67,7.17,10,10,,
