Team,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
Georgia,10,3,.769,6,2,.750,31.5,24.5,11.60,4.52,1,1,13,
Auburn,5,7,.417,2,6,.250,17.3,18.0,1.26,2.10,10,9,,
